Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1134.0,NMDC,Materials,India,970.0,540,1730.0,34830.0,
2009,1057.0,NMDC,Materials,India,1420.0,810,2700.0,11750.0,
2010,946.0,NMDC,Materials,India,1470.0,850,3320.0,37120.0,
2011,1076.0,NMDC,Diversified Metals & Mining,India,1392.0,769.1,3498.0,24268.0,
2012,,NMDC,Diversified Metals & Mining,India,2552.0,1459.1,6356.0,12482.0,1124.0
2013,,NMDC,Diversified Metals & Mining,India,2214.0,1428.4,6901.0,10608.0,1174.0
2014,,NMDC,Diversified Metals & Mining,India,1940.0,1011.0,5362.0,9125.0,1365.0
2015,,NMDC,Diversified Metals & Mining,India,1994.0,1054.2,5250.0,8167.0,1483.0
2016,,NMDC,Diversified Metals & Mining,India,2019.0,1038.0,7086.0,5950.0,1637.0
2022,1997,NMDC,Materials,India,3520.0,1406.4,5715.0,6401.0,
