Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1185.0,Enka,Construction,Turkey,4060.0,410,5380.0,13850.0,
2009,942.0,Enka,Construction,Turkey,5870.0,640,7680.0,4370.0,
2010,934.0,Enka,Construction,Turkey,5870.0,500,7630.0,7290.0,
2011,1222.0,Enka,Construction,Turkey,5314.0,547.5,7029.0,7735.0,
2012,,Enka,Construction,Turkey,4626.0,536.1,7114.0,7030.0,1453.0
2013,,Enka,Construction,Turkey,5721.0,627.0,8231.0,8306.0,1245.0
2014,,Enka,Construction,Turkey,6541.0,655.0,8471.0,9639.0,1170.0
2015,,Enka,Construction,Turkey,5854.0,658.0,7750.0,7370.0,1482.0
2016,,Enka,Construction,Turkey,4541.0,527.9,7117.0,7044.0,1630.0
2017,,Enka,Construction,Turkey,3499.0,587.5,7590.0,6806.0,1870.0
