Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1363.0,Synovus Financial,Banking,United States,2630.0,340,32900.0,3800.0,
2009,1661.0,Synovus Financial,Banking,United States,2290.0,-580,35790.0,1150.0,
2010,1739.0,Synovus Financial,Banking,United States,1920.0,-1410,32850.0,1360.0,
2011,1793.0,Synovus Financial,Banking,United States,1626.0,-790.7,30093.0,2002.0,
2012,,Synovus Financial,Banking,United States,1481.0,-60.6,27163.0,1648.0,1917.0
2013,,Synovus Financial,Banking,United States,1318.0,830.2,26760.0,2236.0,1241.0
2014,,Synovus Financial,Banking,United States,1169.0,159.4,26222.0,3394.0,1998.0
2015,,Synovus Financial,Banking,United States,1157.0,195.2,27089.0,3735.0,1978.0
2016,,Synovus Financial,Banking,United States,1228.0,224.6,29171.0,3946.0,1961.0
2017,,Synovus Financial,Banking,United States,1295.0,246.8,30131.0,4971.0,1949.0
2018,,Synovus Financial,Banking,United States,1473.0,306.8,31501.0,6407.0,1987.0
2019,,Synovus Financial,Banking,United States,1630.0,428.0,32714.0,5739.0,1711.0
2020,,Synovus Financial,Banking,United States,2403.0,482.1,50620.0,3094.0,1490.0
2021,,Synovus Financial,Banking,United States,2303.0,373.7,54631.0,6994.0,1596
