Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,555.0,Kobe Steel,Materials,Japan,16260.0,930,18900.0,9570.0,
2009,506.0,Kobe Steel,Materials,Japan,21370.0,890,23170.0,3790.0,
2010,858.0,Kobe Steel,Materials,Japan,22360.0,-320,23020.0,5720.0,
2011,905.0,Kobe Steel,Diversified Metals & Mining,Japan,17880.0,67.4,23896.0,7449.0,
2012,,Kobe Steel,Diversified Metals & Mining,Japan,22359.0,636.9,26714.0,5113.0,723.0
2013,,Kobe Steel,Diversified Metals & Mining,Japan,22525.0,-172.1,26044.0,3818.0,1136.0
2014,,Kobe Steel,Diversified Metals & Mining,Japan,18060.0,609.8,21230.0,4785.0,913.0
2015,,Kobe Steel,Diversified Metals & Mining,Japan,17697.0,666.0,18965.0,6719.0,857.0
2016,,Kobe Steel,Diversified Metals & Mining,Japan,15419.0,70.9,18555.0,4009.0,1325.0
2017,,Kobe Steel,Diversified Metals & Mining,Japan,15520.0,-406.6,18930.0,3164.0,1338.0
2018,,Kobe Steel,Diversified Metals & Mining,Japan,16973.0,570.1,22120.0,3925.0,1049.0
2019,,Kobe Steel,Materials,Japan,17658.0,474.0,21278.0,2830.0,1161.0
2020,,Kobe Steel,Materials,Japan,17543.0,-17.2,22182.0,1238.0,1366.0
2021,,Kobe Steel,Materials,Japan,15848.0,-668.8,24605.0,2530.0,1400
2022,1244,Kobe Steel,Materials,Japan,18014.0,669.1,23186.0,1763.0,
