Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,833.0,Symantec,IT Software & Services,United States,5700.0,350,17770.0,14250.0,
2009,1011.0,Symantec,IT Software & Services,United States,6220.0,-6290,10840.0,11350.0,
2010,827.0,Symantec,IT Software & Services,United States,5920.0,270,10950.0,13450.0,
2011,788.0,Symantec,IT Software & Services,United States,6048.0,613.0,12163.0,13830.0,
2012,,Symantec,IT Software & Services,United States,6722.0,779.0,12183.0,13254.0,815.0
2013,,Symantec,IT Software & Services,United States,6839.0,1136.0,13962.0,16916.0,718.0
2014,,Symantec,IT Software & Services,United States,6799.0,869.0,13258.0,13956.0,848.0
2015,,Symantec,IT Software & Services,United States,6615.0,919.0,13102.0,16261.0,857.0
2016,,Symantec,IT Software & Services,United States,5424.0,619.0,11936.0,11747.0,1064.0
2017,,Symantec,IT Software & Services,United States,3777.0,2044.0,16760.0,19066.0,857.0
2018,,Symantec,IT Software & Services,United States,4846.0,1163.0,15761.0,12132.0,1104.0
2019,,Symantec,IT Software & Services,United States,4764.0,-38.0,16456.0,15597.0,1587.0
