Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,822.0,Public Bank,Banking,Malaysia,2790.0,640,52140.0,11080.0,
2009,685.0,Public Bank,Banking,Malaysia,3020.0,760,56550.0,8620.0,
2010,642.0,Public Bank,Banking,Malaysia,2750.0,740,63270.0,11520.0,
2011,649.0,Public Bank,Banking,Malaysia,3354.0,988.4,73232.0,15140.0,
2012,,Public Bank,Banking,Malaysia,3732.0,1099.0,78664.0,15578.0,651.0
2013,,Public Bank,Banking,Malaysia,4207.0,1265.3,89785.0,17954.0,594.0
2014,,Public Bank,Banking,Malaysia,4627.0,1290.2,93337.0,20595.0,585.0
2015,,Public Bank,Banking,Malaysia,4895.0,1381.1,98877.0,20434.0,578.0
2016,,Public Bank,Banking,Malaysia,4521.0,1264.4,95360.0,18958.0,581.0
2017,,Public Bank,Banking,Malaysia,4528.0,1256.9,84720.0,17414.0,632.0
2018,,Public Bank,Banking,Malaysia,4726.0,1349.3,102948.0,23342.0,646.0
2019,,Public Bank,Banking,Malaysia,5039.0,1385.0,101559.0,21048.0,644.0
2020,,Public Bank,Banking,Malaysia,4991.0,1330.3,105814.0,14788.0,664.0
2021,,Public Bank,Banking,Malaysia,4542.0,1159.3,112183.0,19754.0,694
2022,751,Public Bank,Banking,Malaysia,4510.0,1364.6,111075.0,21183.0,
