Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,189.0,Bank of Montreal,Banking,Canada,21410.0,2240,385410.0,25300.0,
2009,200.0,Bank of Montreal,Banking,Canada,15370.0,1570,357440.0,12060.0,
2010,150.0,Bank of Montreal,Banking,Canada,14920.0,1660,360620.0,29860.0,
2011,156.0,Bank of Montreal,Banking,Canada,15964.0,2928.3,413141.0,35737.0,
2012,,Bank of Montreal,Banking,Canada,19500.0,3314.6,536730.0,38119.0,147.0
2013,,Bank of Montreal,Banking,Canada,20931.0,4060.0,542889.0,40996.0,131.0
2014,,Bank of Montreal,Banking,Canada,20085.0,4042.9,531559.0,43314.0,146.0
2015,,Bank of Montreal,Banking,Canada,20071.0,3783.9,530272.0,39732.0,154.0
2016,,Bank of Montreal,Banking,Canada,18232.0,3428.4,496922.0,41789.0,143.0
2017,,Bank of Montreal,Banking,Canada,19703.0,3834.1,531071.0,48552.0,133.0
2018,,Bank of Montreal,Banking,Canada,22229.0,3742.7,593315.0,50878.0,139.0
2019,,Bank of Montreal,Banking,Canada,26233.0,4593.0,614176.0,50371.0,134.0
2020,,Bank of Montreal,Banking,Canada,29121.0,4407.2,665170.0,32590.0,132.0
2021,,Bank of Montreal,Banking,Canada,24516.0,4124.7,761839.0,59436.0,107
2022,117,Bank of Montreal,Banking,Canada,26526.0,6919.6,804507.0,72736.0,
