Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1503.0,Fast Retailing,Retailing,Japan,4530.0,270,3100.0,7650.0,
2009,1016.0,Fast Retailing,Retailing,Japan,5400.0,400,3720.0,10790.0,
2010,800.0,Fast Retailing,Retailing,Japan,7360.0,540,4960.0,18060.0,
2011,807.0,Fast Retailing,Consumer Durables,Japan,9680.0,732.8,5988.0,15874.0,
2012,,Fast Retailing,Consumer Durables,Japan,10706.0,709.3,6883.0,21637.0,808.0
2013,,Fast Retailing,Consumer Durables,Japan,11850.0,914.0,7548.0,32559.0,713.0
2014,,Fast Retailing,Consumer Durables,Japan,12636.0,975.9,9996.0,36392.0,647.0
2015,,Fast Retailing,Consumer Durables,Japan,13607.0,733.5,10794.0,42109.0,690.0
2016,,Fast Retailing,Consumer Durables,Japan,14444.0,433.4,11615.0,30354.0,766.0
2017,,Fast Retailing,Consumer Durables,Japan,16444.0,638.7,12383.0,31760.0,677.0
2018,,Fast Retailing,Consumer Durables,Japan,18232.0,1132.8,15196.0,45728.0,578.0
2019,,Fast Retailing,Retailing,Japan,20013.0,1491.0,18103.0,57709.0,479.0
2020,,Fast Retailing,Retailing,Japan,20469.0,1366.9,22753.0,49163.0,428.0
2021,,Fast Retailing,Retailing,Japan,18905.0,903.8,23483.0,84687.0,423
2022,499,Fast Retailing,Retailing,Japan,19275.0,1890.8,22935.0,51268.0,
