Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2012,,Archer Daniels Midland,"Food, Drink & Tobacco",United States,88155.0,1499.0,41516.0,21040.0,239.0
2013,,Archer Daniels Midland,"Food, Drink & Tobacco",United States,90559.0,1375.0,45136.0,21747.0,237.0
2014,,Archer Daniels Midland,"Food, Drink & Tobacco",United States,89692.0,1342.0,43752.0,28480.0,243.0
2015,,Archer Daniels Midland,"Food, Drink & Tobacco",United States,81221.0,2248.0,44027.0,30396.0,220.0
2016,,Archer Daniels Midland,"Food, Drink & Tobacco",United States,67621.0,1849.0,40157.0,23263.0,252.0
2017,,Archer Daniels Midland,"Food, Drink & Tobacco",United States,62391.0,1279.0,39769.0,25617.0,291.0
2018,,Archer Daniels Midland,"Food, Drink & Tobacco",United States,61370.0,1649.0,41100.0,24593.0,324.0
2019,,Archer Daniels Midland,"Food, Drink & Tobacco",United States,64300.0,1810.0,40833.0,23949.0,327.0
2020,,Archer Daniels Midland,"Food, Drink & Tobacco",United States,64352.0,1537.0,43997.0,20695.0,311.0
2021,,Archer Daniels Midland,"Food, Drink & Tobacco",United States,64395.0,1772.0,49719.0,33203.0,247
2022,237,Archer Daniels Midland,"Food, Drink & Tobacco",United States,85262.0,2709.0,56136.0,51849.0,
