Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2013,,Shinhan Financial Group,Diversified Financials,South Korea,16329.0,2098.0,277549.0,17231.0,251.0
2014,,Shinhan Financial Group,Diversified Financials,South Korea,19563.0,1724.8,294970.0,21053.0,249.0
2015,,Shinhan Financial Group,Diversified Financials,South Korea,20072.0,1948.6,307530.0,17791.0,279.0
2016,,Shinhan Financial Group,Diversified Financials,South Korea,14882.0,2178.2,316012.0,17637.0,271.0
2017,,Shinhan Financial Group,Diversified Financials,South Korea,14158.0,2360.6,327604.0,20042.0,265.0
2018,,Shinhan Financial Group,Diversified Financials,South Korea,17603.0,2490.1,406602.0,21152.0,273.0
2019,,Shinhan Financial Group,Diversified Financials,South Korea,20111.0,2832.0,411902.0,18685.0,281.0
2020,,Shinhan Financial Group,Diversified Financials,South Korea,33912.0,2866.5,477686.0,11748.0,268.0
2021,,Shinhan Financial Group,Diversified Financials,South Korea,22942.0,2821.7,557152.0,17630.0,248
2022,279,Shinhan Financial Group,Diversified Financials,South Korea,29275.0,3565.8,545238.0,18166.0,
