Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,945.0,ASML Holding,Semiconductors,Netherlands,5560.0,1000,5730.0,10640.0,
2009,1171.0,ASML Holding,Semiconductors,Netherlands,4110.0,450,5270.0,6700.0,
2010,1749.0,ASML Holding,Semiconductors,Netherlands,2290.0,-220,5160.0,13570.0,
2011,752.0,ASML Holding,Semiconductors,Netherlands,6035.0,1367.9,8196.0,17758.0,
2012,,ASML Holding,Semiconductors,Netherlands,7320.0,1900.3,9375.0,19952.0,690.0
2013,,ASML Holding,Semiconductors,Netherlands,6242.0,1512.3,9718.0,28898.0,743.0
2014,,ASML Holding,Semiconductors,Netherlands,6964.0,1585.0,16816.0,41171.0,591.0
2015,,ASML Holding,Semiconductors,Netherlands,7768.0,1589.7,15812.0,44830.0,593.0
2016,,ASML Holding,Semiconductors,Netherlands,6972.0,1795.9,15767.0,41325.0,579.0
2017,,ASML Holding,Semiconductors,Netherlands,7516.0,1722.3,19742.0,56800.0,531.0
2018,,ASML Holding,Semiconductors,Netherlands,10978.0,2692.5,22930.0,85378.0,451.0
2019,,ASML Holding,Semiconductors,Netherlands,12911.0,2979.0,24779.0,85551.0,393.0
2020,,ASML Holding,Semiconductors,Netherlands,13367.0,2919.2,25541.0,124450.0,361.0
2021,,ASML Holding,Semiconductors,Netherlands,15935.0,4051.0,33363.0,267644.0,249
2022,280,ASML Holding,Semiconductors,Netherlands,20651.0,6094.0,33637.0,247799.0,
