Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2010,1774.0,Stanley Black & Decker,Consumer Durables,United States,3740.0,220,4770.0,4760.0,
2011,983.0,Stanley Black & Decker,Consumer Durables,United States,8410.0,198.2,15139.0,12632.0,
2012,,Stanley Black & Decker,Consumer Durables,United States,10376.0,674.6,15949.0,13600.0,681.0
2013,,Stanley Black & Decker,Consumer Durables,United States,10190.0,883.8,15844.0,13008.0,680.0
2014,,Stanley Black & Decker,Consumer Durables,United States,11022.0,485.5,16535.0,12725.0,824.0
2015,,Stanley Black & Decker,Consumer Durables,United States,11340.0,764.0,15849.0,15212.0,750.0
2016,,Stanley Black & Decker,Consumer Durables,United States,11214.0,910.8,15607.0,16739.0,655.0
2017,,Stanley Black & Decker,Consumer Durables,United States,11407.0,965.3,15635.0,20182.0,656.0
2018,,Stanley Black & Decker,Consumer Durables,United States,13151.0,1003.5,19683.0,22174.0,683.0
2019,,Stanley Black & Decker,Consumer Durables,United States,13982.0,645.0,19408.0,22059.0,736.0
2020,,Stanley Black & Decker,Consumer Durables,United States,14238.0,919.1,22905.0,16974.0,632.0
2021,,Stanley Black & Decker,Consumer Durables,United States,14535.0,1233.8,23566.0,33072.0,515
2022,610,Stanley Black & Decker,Consumer Durables,United States,16830.0,1690.1,28180.0,21353.0,
