Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1232.0,China Yangtze Power,Utilities,China,880.0,460,5220.0,23060.0,
2010,920.0,China Yangtze Power,Utilities,China,1290.0,580,8450.0,21170.0,
2011,792.0,China Yangtze Power,Utilities,China,1608.0,676.3,23695.0,19450.0,
2012,,China Yangtze Power,Utilities,China,3315.0,1247.9,23881.0,17537.0,749.0
2013,,China Yangtze Power,Utilities,China,3284.0,1223.4,25159.0,19359.0,740.0
2014,,China Yangtze Power,Utilities,China,3783.0,1499.5,25392.0,15339.0,794.0
2015,,China Yangtze Power,Utilities,China,4023.0,1782.1,24467.0,29169.0,722.0
2016,,China Yangtze Power,Utilities,China,3892.0,1907.9,22625.0,41777.0,677.0
2017,,China Yangtze Power,Utilities,China,6457.0,2810.7,45323.0,42318.0,411.0
2018,,China Yangtze Power,Utilities,China,7446.0,3377.6,47266.0,56020.0,420.0
2019,,China Yangtze Power,Utilities,China,7745.0,3429.0,43669.0,54729.0,434.0
2020,,China Yangtze Power,Utilities,China,7545.0,3417.1,41822.0,54438.0,433.0
2021,,China Yangtze Power,Utilities,China,8261.0,3798.0,50002.0,71368.0,348
2022,427,China Yangtze Power,Utilities,China,8515.0,4076.1,51496.0,83047.0,
