Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,272.0,EnBW-Energie Baden,Utilities,Germany,21480.0,1850,41470.0,20770.0,
2009,260.0,EnBW-Energie Baden,Utilities,Germany,22710.0,1210,45730.0,10800.0,
2010,281.0,EnBW-Energie Baden,Utilities,Germany,22300.0,1100,45730.0,12350.0,
2011,309.0,EnBW-Energie Baden,Utilities,Germany,23439.0,1566.9,47238.0,14354.0,
2012,,EnBW-Energie Baden,Utilities,Germany,24339.0,-1123.4,46450.0,10777.0,714.0
2013,,EnBW-Energie Baden,Utilities,Germany,24748.0,609.0,48525.0,10753.0,475.0
2014,,EnBW-Energie Baden,Utilities,Germany,27270.0,67.7,49800.0,9653.0,770.0
2015,,EnBW-Energie Baden,Utilities,Germany,27859.0,-597.8,47567.0,7804.0,863.0
2016,,EnBW-Energie Baden,Utilities,Germany,23472.0,138.5,41451.0,7213.0,886.0
2017,,EnBW-Energie Baden,Utilities,Germany,21425.0,-1988.1,43138.0,6489.0,1012.0
2018,,EnBW-Energie Baden,Utilities,Germany,24785.0,2316.9,49909.0,9382.0,514.0
2019,,EnBW-Energie Baden,Utilities,Germany,24323.0,394.0,48409.0,9623.0,809.0
2020,,EnBW-Energie Baden,Utilities,Germany,22348.0,821.8,52427.0,14655.0,492.0
2021,,EnBW-Energie Baden,Utilities,Germany,22451.0,679.5,59998.0,26542.0,426
2022,607,EnBW-Energie Baden,Utilities,Germany,37998.0,429.3,98409.0,25800.0,
