Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,160.0,Commerzbank,Banking,Germany,39980.0,2800,899960.0,20030.0,
2009,686.0,Commerzbank,Banking,Germany,36320.0,0,869050.0,3140.0,
2010,544.0,Commerzbank,Banking,Germany,37370.0,-6500,1202990.0,8720.0,
2011,239.0,Commerzbank,Banking,Germany,33183.0,1914.3,1007140.0,10747.0,
2012,,Commerzbank,Banking,Germany,30165.0,826.4,853675.0,14056.0,298.0
2013,,Commerzbank,Banking,Germany,25463.0,8.0,838336.0,9160.0,654.0
2014,,Commerzbank,Banking,Germany,21582.0,119.0,803029.0,21712.0,556.0
2015,,Commerzbank,Banking,Germany,22723.0,350.2,686026.0,16384.0,529.0
2016,,Commerzbank,Banking,Germany,18672.0,1177.7,587552.0,11754.0,333.0
2017,,Commerzbank,Banking,Germany,15940.0,295.4,513068.0,11025.0,663.0
2018,,Commerzbank,Banking,Germany,16153.0,160.2,547945.0,16146.0,690.0
2019,,Commerzbank,Banking,Germany,15165.0,1008.0,528557.0,11444.0,494.0
2020,,Commerzbank,Banking,Germany,14524.0,721.9,520431.0,4628.0,692.0
2021,,Commerzbank,Banking,Germany,13008.0,-3252.3,620237.0,7455.0,951
2022,876,Commerzbank,Banking,Germany,14836.0,509.4,537946.0,9176.0,
