Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1615.0,Lanxess,Chemicals,Germany,9160.0,260,5440.0,3180.0,
2009,1927.0,Lanxess,Chemicals,Germany,9650.0,160,5780.0,1250.0,
2010,1451.0,Lanxess,Chemicals,Germany,9160.0,240,6270.0,3270.0,
2011,1693.0,Lanxess,Chemicals,Germany,7245.0,57.3,7037.0,5980.0,
2012,,Lanxess,Chemicals,Germany,9531.0,507.4,7373.0,6137.0,1247.0
2013,,Lanxess,Chemicals,Germany,11694.0,661.0,8661.0,6796.0,1037.0
2014,,Lanxess,Chemicals,Germany,11019.0,-211.1,9385.0,6345.0,1607.0
2015,,Lanxess,Chemicals,Germany,10620.0,62.3,9017.0,5040.0,1992.0
2017,,Lanxess,Chemicals,Germany,8517.0,212.4,10572.0,6248.0,1877.0
2018,,Lanxess,Chemicals,Germany,11485.0,122.7,12815.0,7532.0,1627.0
2019,,Lanxess,Chemicals,Germany,9374.0,402.0,10283.0,5633.0,1982.0
2021,,Lanxess,Chemicals,Germany,6958.0,1008.9,11194.0,6533.0,1491
