Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1342.0,Toyota Boshoku,Consumer Durables,Japan,9210.0,260,3850.0,6560.0,
2009,1313.0,Toyota Boshoku,Consumer Durables,Japan,12360.0,410,5150.0,1830.0,
2010,1894.0,Toyota Boshoku,Consumer Durables,Japan,10060.0,-50,4580.0,3230.0,
2011,1886.0,Toyota Boshoku,Consumer Durables,Japan,10205.0,73.6,5682.0,2949.0,
2012,,Toyota Boshoku,Consumer Durables,Japan,11834.0,137.9,5897.0,2277.0,1908.0
2013,,Toyota Boshoku,Consumer Durables,Japan,11649.0,39.0,7078.0,2609.0,1977.0
2014,,Toyota Boshoku,Consumer Durables,Japan,11978.0,141.4,6084.0,1861.0,1965.0
2015,,Toyota Boshoku,Consumer Durables,Japan,12088.0,66.7,5711.0,2357.0,1950.0
2016,,Toyota Boshoku,Consumer Durables,Japan,11617.0,189.1,5889.0,3322.0,1924.0
2017,,Toyota Boshoku,Consumer Durables,Japan,12549.0,83.9,5561.0,4046.0,1861.0
2018,,Toyota Boshoku,Consumer Durables,Japan,12627.0,385.8,7001.0,3842.0,1736.0
2019,,Toyota Boshoku,Consumer Durables,Japan,12796.0,283.0,6410.0,3016.0,1932.0
