Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1573.0,Yanzhou Coal Mining,Materials,China,1660.0,300,3000.0,11300.0,
2009,1357.0,Yanzhou Coal Mining,Materials,China,2070.0,440,3580.0,5420.0,
2010,973.0,Yanzhou Coal Mining,Materials,China,3660.0,950,4730.0,13290.0,
2011,1026.0,Yanzhou Coal Mining,Diversified Metals & Mining,China,2967.0,603.1,8994.0,19843.0,
2012,,Yanzhou Coal Mining,Diversified Metals & Mining,China,7478.0,1419.0,15224.0,16096.0,629.0
2013,,Yanzhou Coal Mining,Diversified Metals & Mining,China,9216.0,986.0,18050.0,11824.0,674.0
2014,,Yanzhou Coal Mining,Diversified Metals & Mining,China,9350.0,259.5,19565.0,4518.0,1472.0
2015,,Yanzhou Coal Mining,Diversified Metals & Mining,China,10271.0,130.3,21205.0,9501.0,1128.0
2016,,Yanzhou Coal Mining,Diversified Metals & Mining,China,10788.0,81.3,21523.0,5906.0,1282.0
2017,,Yanzhou Coal Mining,Diversified Metals & Mining,China,14986.0,307.6,20954.0,6840.0,1112.0
2018,,Yanzhou Coal Mining,Diversified Metals & Mining,China,21183.0,1100.0,31685.0,9899.0,671.0
2019,,Yanzhou Coal Mining,Materials,China,24250.0,1200.0,29666.0,5504.0,784.0
2020,,Yanzhou Coal Mining,Materials,China,9815.0,1365.6,30259.0,3726.0,910.0
2021,,Yanzhou Coal Mining,Materials,China,10012.0,908.2,41746.0,6748.0,865
