Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,471.0,Michelin Group,Consumer Durables,France,21610.0,750,20940.0,14330.0,
2009,532.0,Michelin Group,Consumer Durables,France,22850.0,500,21820.0,4760.0,
2010,706.0,Michelin Group,Consumer Durables,France,20650.0,150,23670.0,10360.0,
2011,391.0,Michelin Group,Consumer Durables,France,23950.0,1386.9,25268.0,14494.0,
2012,,Michelin Group,Consumer Durables,France,26838.0,1880.8,25361.0,13804.0,375.0
2013,,Michelin Group,Consumer Durables,France,28330.0,2058.0,26437.0,16194.0,356.0
2014,,Michelin Group,Consumer Durables,France,26880.0,1486.9,28499.0,23649.0,359.0
2015,,Michelin Group,Consumer Durables,France,25936.0,1359.6,27133.0,19041.0,415.0
2016,,Michelin Group,Consumer Durables,France,23508.0,1286.3,25955.0,19561.0,392.0
2017,,Michelin Group,Consumer Durables,France,23127.0,1840.7,26708.0,21574.0,361.0
2018,,Michelin Group,Consumer Durables,France,24769.0,1905.1,30341.0,25537.0,405.0
2019,,Michelin Group,Consumer Durables,France,25988.0,1964.0,33663.0,23750.0,382.0
2020,,Michelin Group,Consumer Durables,France,27013.0,1947.5,35557.0,17433.0,381.0
2021,,Michelin Group,Consumer Durables,France,23334.0,715.9,38709.0,26598.0,470
2022,438,Michelin Group,Consumer Durables,France,28125.0,2178.4,38162.0,22854.0,
