Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,751.0,Keppel,Conglomerates,Singapore,7250.0,790,10990.0,12270.0,
2009,748.0,Keppel,Conglomerates,Singapore,8190.0,760,11620.0,4500.0,
2010,570.0,Keppel,Conglomerates,Singapore,8710.0,1160,12330.0,9570.0,
2011,577.0,Keppel,Conglomerates,Singapore,7625.0,1265.0,16378.0,14800.0,
2012,,Keppel,Conglomerates,Singapore,7774.0,1419.1,18881.0,15593.0,585.0
2017,,Keppel,Conglomerates,Singapore,4902.0,567.8,20259.0,8886.0,1138.0
2018,,Keppel,Conglomerates,Singapore,4560.0,216.6,21101.0,11233.0,1634.0
2019,,Keppel,Conglomerates,Singapore,4421.0,699.0,19520.0,9009.0,1353.0
2020,,Keppel,Conglomerates,Singapore,5763.0,484.4,22815.0,7734.0,1351.0
2022,1534,Keppel,Conglomerates,Singapore,6418.0,761.0,23976.0,9045.0,
