Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,254.0,Diageo,"Food, Drink & Tobacco",United Kingdom,15020.0,2990,26480.0,52920.0,
2009,210.0,Diageo,"Food, Drink & Tobacco",United Kingdom,16120.0,3030,30720.0,29180.0,
2010,215.0,Diageo,"Food, Drink & Tobacco",United Kingdom,15340.0,2670,28690.0,40930.0,
2011,276.0,Diageo,"Food, Drink & Tobacco",United Kingdom,14619.0,2435.0,28314.0,47319.0,
2012,,Diageo,"Food, Drink & Tobacco",United Kingdom,15949.0,3049.8,30923.0,60389.0,254.0
2013,,Diageo,"Food, Drink & Tobacco",United Kingdom,16895.0,3048.7,34539.0,76396.0,242.0
2014,,Diageo,"Food, Drink & Tobacco",United Kingdom,17704.0,3979.6,40156.0,77339.0,228.0
2015,,Diageo,"Food, Drink & Tobacco",United Kingdom,16838.0,3227.3,43519.0,71033.0,245.0
2016,,Diageo,"Food, Drink & Tobacco",United Kingdom,16071.0,3782.8,39496.0,68643.0,236.0
2017,,Diageo,"Food, Drink & Tobacco",United Kingdom,15247.0,3173.6,37354.0,71167.0,261.0
2018,,Diageo,"Food, Drink & Tobacco",United Kingdom,15659.0,4128.8,40720.0,89382.0,272.0
2019,,Diageo,"Food, Drink & Tobacco",United Kingdom,16722.0,3920.0,40875.0,98004.0,283.0
2020,,Diageo,"Food, Drink & Tobacco",United Kingdom,16787.0,3889.7,42038.0,80965.0,273.0
2021,,Diageo,"Food, Drink & Tobacco",United Kingdom,14652.0,1441.4,44841.0,104352.0,283
2022,287,Diageo,"Food, Drink & Tobacco",United Kingdom,19001.0,4187.8,44914.0,116049.0,
