Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,126.0,Comcast,Media,United States,30900.0,2590,113420.0,58840.0,
2009,98.0,Comcast,Media,United States,34260.0,2550,113020.0,37620.0,
2010,89.0,Comcast,Media,United States,35760.0,3640,112730.0,47760.0,
2011,104.0,Comcast,Media,United States,37937.0,3635.0,118534.0,68653.0,
2012,,Comcast,Media,United States,55842.0,4160.0,157818.0,79825.0,81.0
2013,,Comcast,Media,United States,62570.0,6203.0,164971.0,106268.0,56.0
2014,,Comcast,Media,United States,64657.0,6816.0,158813.0,130005.0,57.0
2015,,Comcast,Media,United States,68775.0,8380.0,159339.0,147768.0,46.0
2016,,Comcast,Media,United States,74510.0,8163.0,166574.0,148187.0,35.0
2017,,Comcast,Media,United States,80403.0,8695.0,180500.0,193528.0,31.0
2018,,Comcast,Media,United States,86854.0,23266.0,190876.0,146792.0,34.0
2019,,Comcast,Media,United States,94507.0,11731.0,251684.0,192037.0,33.0
2020,,Comcast,Media,United States,108692.0,11651.0,262421.0,171749.0,27.0
2021,,Comcast,Media,United States,103564.0,10534.0,273869.0,252440.0,25
2022,32,Comcast,Media,United States,116385.0,14159.0,275905.0,205718.0,
