Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2013,,Unicharm,Consumer Durables,Japan,5175.0,325.9,5193.0,10617.0,1500.0
2014,,Unicharm,Consumer Durables,Japan,5841.0,436.5,5703.0,10685.0,1368.0
2015,,Unicharm,Consumer Durables,Japan,6974.0,412.3,5831.0,16778.0,1230.0
2016,,Unicharm,Consumer Durables,Japan,6102.0,334.6,5841.0,13340.0,1366.0
2017,,Unicharm,Consumer Durables,Japan,6543.0,406.2,6101.0,14474.0,1266.0
2018,,Unicharm,Consumer Durables,Japan,5922.0,499.5,6780.0,17598.0,1336.0
2019,,Unicharm,Consumer Durables,Japan,6232.0,556.0,7250.0,19423.0,1268.0
2020,,Unicharm,Consumer Durables,Japan,6552.0,423.0,7950.0,22024.0,1296.0
2021,,Unicharm,Consumer Durables,Japan,6814.0,490.2,8653.0,24307.0,1195
2022,1457,Unicharm,Consumer Durables,Japan,7124.0,662.1,8577.0,20271.0,
