Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2013,,China National Chemical,Construction,China,6917.0,377.5,7220.0,6693.0,1485.0
2014,,China National Chemical,Construction,China,9674.0,561.3,10973.0,4928.0,1313.0
2015,,China National Chemical,Construction,China,10807.0,559.5,12935.0,7909.0,1058.0
2016,,China National Chemical,Construction,China,9146.0,423.2,12811.0,4513.0,1382.0
2017,,China National Chemical,Construction,China,8366.0,367.5,12453.0,6507.0,1448.0
2018,,China National Chemical,Construction,China,9455.0,248.5,13832.0,6043.0,1843.0
2019,,China National Chemical,Construction,China,12245.0,292.0,14132.0,5010.0,1695.0
2020,,China National Chemical,Construction,China,14295.0,426.1,15866.0,4316.0,1416.0
2021,,China National Chemical,Construction,China,15311.0,483.8,18578.0,4984.0,1178
2022,1178,China National Chemical,Construction,China,20543.0,581.2,25207.0,8523.0,
