Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,685.0,British Sky Broadcasting,Media,United Kingdom,9140.0,1000,7760.0,19800.0,
2009,974.0,British Sky Broadcasting,Media,United Kingdom,9860.0,-250,8080.0,11750.0,
2010,744.0,British Sky Broadcasting,Media,United Kingdom,8830.0,430,7500.0,14510.0,
2011,688.0,British Sky Broadcasting,Media,United Kingdom,8837.0,1312.4,7187.0,23130.0,
2012,,British Sky Broadcasting,Media,United Kingdom,10589.0,1300.2,8485.0,18762.0,695.0
2013,,British Sky Broadcasting,Media,United Kingdom,10661.0,1422.3,8616.0,21637.0,700.0
2014,,British Sky Broadcasting,Media,United Kingdom,11659.0,1411.5,10994.0,24216.0,635.0
2015,,British Sky Broadcasting,Media,United Kingdom,13439.0,2540.6,24605.0,25612.0,426.0
2016,,British Sky Broadcasting,Media,United Kingdom,17425.0,959.5,24001.0,23858.0,452.0
2017,,British Sky Broadcasting,Media,United Kingdom,17078.0,847.4,22851.0,20642.0,531.0
2018,,British Sky Broadcasting,Media,United Kingdom,17055.0,1059.9,25361.0,31637.0,518.0
