Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1405.0,Credito Emiliano,Banking,Italy,2240.0,310,31900.0,3650.0,
2009,1268.0,Credito Emiliano,Banking,Italy,2970.0,360,38280.0,880.0,
2010,1376.0,Credito Emiliano,Banking,Italy,2750.0,220,41740.0,2150.0,
2011,1720.0,Credito Emiliano,Banking,Italy,2746.0,127.3,37778.0,2245.0,
2012,,Credito Emiliano,Banking,Italy,1904.0,134.5,41088.0,1748.0,1743.0
2013,,Credito Emiliano,Banking,Italy,1912.0,155.9,40539.0,1683.0,1775.0
2014,,Credito Emiliano,Banking,Italy,1953.0,153.8,43448.0,3374.0,1755.0
2015,,Credito Emiliano,Banking,Italy,1992.0,201.3,42103.0,2997.0,1768.0
2016,,Credito Emiliano,Banking,Italy,1691.0,184.3,40688.0,2385.0,1788.0
2017,,Credito Emiliano,Banking,Italy,1645.0,146.0,41735.0,2232.0,1786.0
2018,,Credito Emiliano,Banking,Italy,2119.0,210.4,49935.0,2879.0,1758.0
2019,,Credito Emiliano,Banking,Italy,2270.0,220.0,49348.0,1937.0,1776.0
2020,,Credito Emiliano,Banking,Italy,2090.0,225.3,53465.0,1471.0,1813.0
2021,,Credito Emiliano,Banking,Italy,2163.0,229.8,69314.0,1989.0,1817
2022,1750,Credito Emiliano,Banking,Italy,2571.0,417.4,76851.0,2240.0,
