Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1199.0,Colruyt,Food Markets,Belgium,6960.0,350,2610.0,8180.0,
2009,907.0,Colruyt,Food Markets,Belgium,8960.0,460,3440.0,7370.0,
2010,977.0,Colruyt,Food Markets,Belgium,8300.0,400,3120.0,7940.0,
2011,1078.0,Colruyt,Food Markets,Belgium,9125.0,445.4,3538.0,8516.0,
2012,,Colruyt,Food Markets,Belgium,10312.0,478.8,4251.0,6864.0,1199.0
2013,,Colruyt,Food Markets,Belgium,10477.0,457.8,4205.0,8221.0,1133.0
2014,,Colruyt,Food Markets,Belgium,11145.0,484.4,4934.0,8888.0,1139.0
2015,,Colruyt,Food Markets,Belgium,11958.0,481.0,4602.0,7249.0,1313.0
2016,,Colruyt,Food Markets,Belgium,10361.0,379.8,4354.0,8456.0,1254.0
2017,,Colruyt,Food Markets,Belgium,10313.0,416.9,4821.0,7113.0,1393.0
2018,,Colruyt,Food Markets,Belgium,10258.0,407.6,5014.0,8198.0,1566.0
2019,,Colruyt,Food Markets,Belgium,10904.0,476.0,4791.0,9578.0,1364.0
2020,,Colruyt,Food Markets,Belgium,10782.0,417.1,4887.0,8257.0,1470.0
2021,,Colruyt,Food Markets,Belgium,11025.0,540.2,5933.0,7825.0,1506
