Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2010,746.0,Emirates NBD,Banking,United Arab Emirates,4730.0,910,76660.0,3650.0,
2011,876.0,Emirates NBD,Banking,United Arab Emirates,4523.0,637.0,77922.0,4842.0,
2012,,Emirates NBD,Banking,United Arab Emirates,3995.0,617.9,77487.0,4782.0,1034.0
2013,,Emirates NBD,Banking,United Arab Emirates,3809.0,624.0,83935.0,5841.0,981.0
2014,,Emirates NBD,Banking,United Arab Emirates,4005.0,781.6,93129.0,12831.0,765.0
2015,,Emirates NBD,Banking,United Arab Emirates,4734.0,1261.1,98835.0,13618.0,666.0
2016,,Emirates NBD,Banking,United Arab Emirates,5287.0,1815.9,112852.0,12710.0,552.0
2017,,Emirates NBD,Banking,United Arab Emirates,5533.0,1810.1,121976.0,12484.0,573.0
2018,,Emirates NBD,Banking,United Arab Emirates,6060.0,2251.1,129493.0,15509.0,567.0
2019,,Emirates NBD,Banking,United Arab Emirates,6905.0,2571.0,136216.0,18157.0,510.0
2020,,Emirates NBD,Banking,United Arab Emirates,10676.0,3589.3,188319.0,14789.0,351.0
2021,,Emirates NBD,Banking,United Arab Emirates,9745.0,1717.5,190051.0,20550.0,391
2022,466,Emirates NBD,Banking,United Arab Emirates,8598.0,2493.8,188953.0,26140.0,
