Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,242.0,Sumitomo,Trading Companies,Japan,26190.0,1800,71640.0,18490.0,
2009,159.0,Sumitomo,Trading Companies,Japan,36780.0,2390,75920.0,10630.0,
2010,174.0,Sumitomo,Trading Companies,Japan,36060.0,2210,70690.0,13570.0,
2011,230.0,Sumitomo,Trading Companies,Japan,30861.0,1660.6,76117.0,17922.0,
2017,,Sumitomo,Trading Companies,Japan,38225.0,1148.0,67659.0,16763.0,322.0
2018,,Sumitomo,Trading Companies,Japan,43555.0,2783.7,73067.0,21991.0,253.0
2019,,Sumitomo,Trading Companies,Japan,46918.0,2693.0,72668.0,17887.0,291.0
2020,,Sumitomo,Trading Companies,Japan,49912.0,2661.0,77099.0,14352.0,290.0
2021,,Sumitomo,Trading Companies,Japan,43624.0,-1439.6,75341.0,17800.0,663
2022,321,Sumitomo,Trading Companies,Japan,48216.0,2692.0,77799.0,20277.0,
