Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,251.0,Erste Group Bank,Banking,Austria,15757.0,1359.0,275715.0,18692.0,
2012,,Erste Group Bank,Banking,Austria,14915.0,-1001.0,272168.0,9779.0,694.0
2013,,Erste Group Bank,Banking,Austria,15483.0,-933.0,271708.0,12343.0,672.0
2014,,Erste Group Bank,Banking,Austria,12573.0,81.0,275419.0,14417.0,694.0
2015,,Erste Group Bank,Banking,Austria,11614.0,-1912.7,237517.0,11234.0,790.0
2016,,Erste Group Bank,Banking,Austria,9787.0,1073.6,218145.0,12573.0,436.0
2017,,Erste Group Bank,Banking,Austria,9248.0,1380.4,220843.0,13515.0,429.0
2018,,Erste Group Bank,Banking,Austria,10190.0,1549.2,282895.0,18969.0,430.0
2019,,Erste Group Bank,Banking,Austria,11479.0,2025.0,271516.0,17022.0,391.0
2020,,Erste Group Bank,Banking,Austria,11167.0,1542.4,276666.0,8862.0,507.0
2021,,Erste Group Bank,Banking,Austria,10578.0,762.1,340412.0,14281.0,537
2022,507,Erste Group Bank,Banking,Austria,11432.0,2098.7,350460.0,13967.0,
