Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,177.0,Volvo Group,Capital Goods,Sweden,44150.0,2310,48390.0,40560.0,
2009,241.0,Volvo Group,Capital Goods,Sweden,39000.0,1280,45680.0,8590.0,
2010,537.0,Volvo Group,Consumer Durables,Sweden,30490.0,-2060,44770.0,18310.0,
2011,195.0,Volvo Group,Consumer Durables,Sweden,39426.0,1618.2,45471.0,34795.0,
2012,,Volvo Group,Capital Goods,Sweden,44994.0,2573.4,49656.0,31453.0,183.0
2013,,Volvo Group,Capital Goods,Sweden,46716.0,1698.3,50354.0,31909.0,210.0
2014,,Volvo Group,Capital Goods,Sweden,41845.0,550.0,53690.0,34667.0,352.0
2015,,Volvo Group,Capital Goods,Sweden,41214.0,305.7,49931.0,25228.0,559.0
2016,,Volvo Group,Capital Goods,Sweden,37044.0,1784.9,45285.0,25882.0,257.0
2017,,Volvo Group,Capital Goods,Sweden,35263.0,1535.7,44712.0,28575.0,275.0
2018,,Volvo Group,Capital Goods,Sweden,41538.0,2625.6,53051.0,37090.0,238.0
2019,,Volvo Group,Consumer Durables,Sweden,44920.0,2861.0,53538.0,32779.0,246.0
2020,,Volvo Group,Consumer Durables,Sweden,43427.0,3121.6,55601.0,26263.0,233.0
2021,,Volvo Group,Consumer Durables,Sweden,36769.0,2098.6,62200.0,52150.0,215
2022,274,Volvo Group,Consumer Durables,Sweden,43358.0,3819.2,57787.0,34702.0,
