Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1023.0,Shizuoka Bank,Banking,Japan,1750.0,320,74230.0,7470.0,
2009,831.0,Shizuoka Bank,Banking,Japan,2250.0,350,91380.0,6210.0,
2010,1195.0,Shizuoka Bank,Banking,Japan,2300.0,130,92090.0,6260.0,
2011,1065.0,Shizuoka Bank,Banking,Japan,2173.0,350.5,96719.0,6105.0,
2012,,Shizuoka Bank,Banking,Japan,2394.0,435.0,113833.0,6971.0,982.0
2013,,Shizuoka Bank,Banking,Japan,2372.0,449.2,117790.0,7281.0,963.0
2014,,Shizuoka Bank,Banking,Japan,2153.0,486.5,103261.0,6105.0,1080.0
2015,,Shizuoka Bank,Banking,Japan,1943.0,423.5,91457.0,6234.0,1232.0
2016,,Shizuoka Bank,Banking,Japan,1750.0,438.7,92096.0,5409.0,1217.0
2017,,Shizuoka Bank,Banking,Japan,1903.0,261.7,102168.0,5079.0,1561.0
2018,,Shizuoka Bank,Banking,Japan,1888.0,452.3,108441.0,6135.0,1348.0
2019,,Shizuoka Bank,Banking,Japan,2018.0,431.0,107010.0,4426.0,1406.0
2020,,Shizuoka Bank,Banking,Japan,2075.0,383.9,117468.0,3510.0,1471.0
2021,,Shizuoka Bank,Banking,Japan,2017.0,390.7,134417.0,4500.0,1368
2022,1604,Shizuoka Bank,Banking,Japan,2011.0,431.7,127333.0,3803.0,
