Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2012,,Danske Bank,Banking,Denmark,20019.0,298.0,597800.0,15765.0,498.0
2013,,Danske Bank,Banking,Denmark,22572.0,839.4,615604.0,19146.0,285.0
2014,,Danske Bank,Banking,Denmark,20845.0,1266.6,596047.0,28321.0,231.0
2015,,Danske Bank,Banking,Denmark,14863.0,637.9,561124.0,27669.0,373.0
2016,,Danske Bank,Banking,Denmark,11581.0,1860.8,479327.0,27172.0,263.0
2017,,Danske Bank,Banking,Denmark,11658.0,2852.0,494169.0,31925.0,230.0
2018,,Danske Bank,Banking,Denmark,18349.0,3006.6,583832.0,29058.0,224.0
2019,,Danske Bank,Banking,Denmark,15446.0,2201.0,548176.0,16592.0,339.0
2020,,Danske Bank,Banking,Denmark,16034.0,1488.6,589297.0,10126.0,398.0
2021,,Danske Bank,Banking,Denmark,20911.0,617.5,675472.0,16984.0,411
2022,371,Danske Bank,Banking,Denmark,24797.0,1981.6,601786.0,14695.0,
