Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,63.0,Microsoft,IT Software & Services,United States,57900.0,16960,67340.0,253150.0,
2009,49.0,Microsoft,IT Software & Services,United States,61980.0,17230,65790.0,143580.0,
2010,49.0,Microsoft,IT Software & Services,United States,58690.0,16260,82100.0,254520.0,
2011,50.0,Microsoft,IT Software & Services,United States,66690.0,20568.0,92306.0,215773.0,
2012,,Microsoft,IT Software & Services,United States,72052.0,23468.0,112243.0,273539.0,42.0
2013,,Microsoft,IT Software & Services,United States,72930.0,15459.0,128683.0,234828.0,41.0
2014,,Microsoft,IT Software & Services,United States,83263.0,22822.0,153543.0,343816.0,32.0
2015,,Microsoft,IT Software & Services,United States,93268.0,20675.0,174848.0,340826.0,25.0
2016,,Microsoft,IT Software & Services,United States,86596.0,10179.0,181869.0,407015.0,23.0
2017,,Microsoft,IT Software & Services,United States,85270.0,16768.0,224610.0,507544.0,19.0
2018,,Microsoft,IT Software & Services,United States,103313.0,14211.0,245497.0,750649.0,20.0
2019,,Microsoft,IT Software & Services,United States,118224.0,33541.0,258859.0,946521.0,16.0
2020,,Microsoft,IT Software & Services,United States,138604.0,46266.0,285449.0,1359028.0,13.0
2021,,Microsoft,IT Software & Services,United States,153284.0,51310.0,304137.0,1966559.0,15
2022,12,Microsoft,IT Software & Services,United States,184903.0,71185.0,340389.0,2054367.0,
