Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,494.0,Consolidated Edison,Utilities,United States,13120.0,940,28340.0,11130.0,
2009,340.0,Consolidated Edison,Utilities,United States,13580.0,1210,33500.0,9920.0,
2010,365.0,Consolidated Edison,Utilities,United States,13030.0,880,33870.0,12150.0,
2011,431.0,Consolidated Edison,Utilities,United States,13325.0,1003.0,36146.0,14677.0,
2012,,Consolidated Edison,Utilities,United States,12938.0,1061.0,39214.0,16876.0,420.0
2013,,Consolidated Edison,Utilities,United States,12188.0,1141.0,41209.0,17330.0,432.0
2014,,Consolidated Edison,Utilities,United States,12346.0,1062.0,40647.0,15556.0,486.0
2015,,Consolidated Edison,Utilities,United States,12889.0,1091.0,44308.0,18027.0,474.0
2016,,Consolidated Edison,Utilities,United States,12542.0,1193.0,45642.0,21036.0,393.0
2017,,Consolidated Edison,Utilities,United States,12062.0,1246.0,48255.0,23756.0,390.0
2018,,Consolidated Edison,Utilities,United States,12170.0,1565.0,48900.0,23873.0,465.0
2019,,Consolidated Edison,Utilities,United States,12332.0,1382.0,53920.0,27336.0,448.0
2020,,Consolidated Edison,Utilities,United States,12548.0,1344.0,58079.0,26317.0,409.0
2021,,Consolidated Edison,Utilities,United States,12238.0,1101.0,62895.0,26802.0,433
2022,493,Consolidated Edison,Utilities,United States,13672.0,1346.0,63116.0,34176.0,
