Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,716.0,Sojitz,Trading Companies,Japan,44410.0,500,22120.0,4790.0,
2009,690.0,Sojitz,Trading Companies,Japan,57830.0,630,26510.0,1410.0,
2010,881.0,Sojitz,Trading Companies,Japan,53060.0,200,22770.0,2200.0,
2011,1057.0,Sojitz,Trading Companies,Japan,41135.0,94.1,22469.0,2691.0,
2012,,Sojitz,Trading Companies,Japan,48296.0,192.2,24904.0,2267.0,1060.0
2013,,Sojitz,Trading Companies,Japan,54290.0,-44.1,25496.0,1986.0,1061.0
2014,,Sojitz,Trading Companies,Japan,24260.0,246.6,21235.0,2126.0,1182.0
2015,,Sojitz,Trading Companies,Japan,17183.0,317.4,19521.0,2145.0,1211.0
2016,,Sojitz,Trading Companies,Japan,14050.0,314.5,18067.0,2615.0,1236.0
2017,,Sojitz,Trading Companies,Japan,13910.0,316.6,18079.0,3073.0,1264.0
2018,,Sojitz,Trading Companies,Japan,16389.0,512.9,22100.0,4804.0,1086.0
2019,,Sojitz,Trading Companies,Japan,16963.0,596.0,21172.0,4288.0,1066.0
2020,,Sojitz,Trading Companies,Japan,16140.0,559.4,20659.0,2873.0,1107.0
2021,,Sojitz,Trading Companies,Japan,14947.0,375.1,21342.0,3438.0,1256
2022,1285,Sojitz,Trading Companies,Japan,18125.0,658.1,21790.0,3619.0,
