Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1102.0,Wipro,IT Software & Services,India,3470.0,680,3260.0,15870.0,
2009,989.0,Wipro,IT Software & Services,India,4980.0,820,5380.0,5930.0,
2010,826.0,Wipro,IT Software & Services,India,5000.0,760,5490.0,21530.0,
2011,782.0,Wipro,IT Software & Services,India,6071.0,1033.2,7258.0,24204.0,
2012,,Wipro,IT Software & Services,India,6972.0,1189.3,8296.0,20967.0,788.0
2013,,Wipro,IT Software & Services,India,7313.0,1095.7,8507.0,20093.0,812.0
2014,,Wipro,IT Software & Services,India,7061.0,1245.5,7797.0,23146.0,849.0
2015,,Wipro,IT Software & Services,India,7614.0,1410.4,9116.0,24672.0,811.0
2016,,Wipro,IT Software & Services,India,7827.0,1358.2,10947.0,20669.0,755.0
2017,,Wipro,IT Software & Services,India,8139.0,1259.6,11782.0,19373.0,765.0
2018,,Wipro,IT Software & Services,India,8452.0,1242.2,11662.0,18279.0,909.0
2019,,Wipro,IT Software & Services,India,8379.0,1216.0,11583.0,24781.0,857.0
2020,,Wipro,IT Software & Services,India,8606.0,1371.1,10800.0,14432.0,904.0
2021,,Wipro,IT Software & Services,India,8344.0,1454.1,11372.0,35907.0,769
2022,821,Wipro,IT Software & Services,India,10073.0,1637.1,13686.0,38439.0,
