Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1791.0,Petronas Gas,Oil & Gas Operations,Malaysia,860.0,360,2750.0,6260.0,
2009,1467.0,Petronas Gas,Oil & Gas Operations,Malaysia,980.0,340,3060.0,5200.0,
2010,1755.0,Petronas Gas,Oil & Gas Operations,Malaysia,940.0,250,2760.0,5700.0,
2011,1897.0,Petronas Gas,Oil & Gas Operations,Malaysia,988.0,288.4,3015.0,7498.0,
2012,,Petronas Gas,Oil & Gas Operations,Malaysia,1123.0,458.7,3474.0,10355.0,1484.0
2013,,Petronas Gas,Oil & Gas Operations,Malaysia,1170.0,459.5,4402.0,11793.0,1450.0
2014,,Petronas Gas,Oil & Gas Operations,Malaysia,1235.0,659.9,4037.0,14682.0,1308.0
2015,,Petronas Gas,Oil & Gas Operations,Malaysia,1342.0,563.3,3792.0,12548.0,1485.0
2016,,Petronas Gas,Oil & Gas Operations,Malaysia,1140.0,508.3,3419.0,11166.0,1487.0
2017,,Petronas Gas,Oil & Gas Operations,Malaysia,1101.0,419.7,3736.0,8789.0,1881.0
