Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1776.0,Bank of Nanjing,Banking,China,460.0,120,10390.0,3170.0,
2010,1490.0,Bank of Nanjing,Banking,China,760.0,210,13700.0,4550.0,
2011,1657.0,Bank of Nanjing,Banking,China,780.0,226.1,21876.0,4958.0,
2012,,Bank of Nanjing,Banking,China,1243.0,350.6,33563.0,4287.0,1451.0
2013,,Bank of Nanjing,Banking,China,2184.0,510.0,44714.0,4434.0,1246.0
2014,,Bank of Nanjing,Banking,China,3311.0,721.9,69601.0,3721.0,1116.0
2015,,Bank of Nanjing,Banking,China,4762.0,852.1,88979.0,7256.0,889.0
2016,,Bank of Nanjing,Banking,China,6313.0,1064.8,121155.0,8320.0,646.0
2017,,Bank of Nanjing,Banking,China,7755.0,1251.0,153406.0,10460.0,549.0
2018,,Bank of Nanjing,Banking,China,8507.0,1524.0,187454.0,11583.0,569.0
2019,,Bank of Nanjing,Banking,China,8563.0,1653.0,176888.0,11525.0,554.0
2020,,Bank of Nanjing,Banking,China,8670.0,1673.4,208952.0,10912.0,517.0
2021,,Bank of Nanjing,Banking,China,9540.0,1805.6,219526.0,14191.0,465
2022,424,Bank of Nanjing,Banking,China,12166.0,2613.6,296796.0,18835.0,
