Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2013,,Oji Holdings,Materials,Japan,14652.0,267.9,19671.0,3540.0,1234.0
2014,,Oji Holdings,Materials,Japan,13289.0,320.7,18341.0,4605.0,1232.0
2015,,Oji Holdings,Materials,Japan,12614.0,254.9,17710.0,4287.0,1426.0
2016,,Oji Holdings,Materials,Japan,11847.0,235.4,17342.0,4624.0,1442.0
2017,,Oji Holdings,Materials,Japan,13006.0,92.7,16068.0,4348.0,1470.0
2018,,Oji Holdings,Materials,Japan,13407.0,327.6,18505.0,6932.0,1421.0
2019,,Oji Holdings,Materials,Japan,14063.0,410.0,18066.0,5890.0,1368.0
2020,,Oji Holdings,Materials,Japan,13896.0,555.2,17836.0,5092.0,1207.0
2021,,Oji Holdings,Materials,Japan,12896.0,346.0,18358.0,6471.0,1463
2022,1392,Oji Holdings,Materials,Japan,13114.0,820.3,17842.0,4804.0,
