Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,529.0,Deutsche Boerse,Diversified Financials,Germany,3190.0,1330,133410.0,30880.0,
2009,538.0,Deutsche Boerse,Diversified Financials,Germany,3420.0,1440,116440.0,8730.0,
2010,577.0,Deutsche Boerse,Diversified Financials,Germany,2950.0,710,202770.0,13670.0,
2011,714.0,Deutsche Boerse,Diversified Financials,Germany,2820.0,559.3,243549.0,13917.0,
2012,,Deutsche Boerse,Diversified Financials,Germany,2990.0,1099.5,351696.0,12844.0,634.0
2013,,Deutsche Boerse,Diversified Financials,Germany,2840.0,829.4,285469.0,12513.0,684.0
2014,,Deutsche Boerse,Diversified Financials,Germany,2958.0,635.1,260860.0,15459.0,718.0
2015,,Deutsche Boerse,Diversified Financials,Germany,3159.0,1011.1,261310.0,16276.0,668.0
2016,,Deutsche Boerse,Diversified Financials,Germany,2602.0,738.0,195663.0,16281.0,699.0
2017,,Deutsche Boerse,Diversified Financials,Germany,3157.0,799.0,172837.0,17930.0,704.0
2018,,Deutsche Boerse,Diversified Financials,Germany,3375.0,985.4,179688.0,25965.0,689.0
2019,,Deutsche Boerse,Diversified Financials,Germany,3702.0,972.0,180249.0,24159.0,672.0
2020,,Deutsche Boerse,Diversified Financials,Germany,3711.0,1123.6,154048.0,28479.0,589.0
2021,,Deutsche Boerse,Diversified Financials,Germany,4282.0,1240.1,187036.0,32450.0,570
2022,632,Deutsche Boerse,Diversified Financials,Germany,5256.0,1429.8,253745.0,32231.0,
