Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,217.0,McDonald's,"Hotels, Restaurants & Leisure",United States,22790.0,2400,29390.0,62320.0,
2009,170.0,McDonald's,"Hotels, Restaurants & Leisure",United States,23520.0,4310,28460.0,58190.0,
2010,153.0,McDonald's,"Hotels, Restaurants & Leisure",United States,22740.0,4550,30070.0,69050.0,
2011,181.0,McDonald's,"Hotels, Restaurants & Leisure",United States,24075.0,4946.3,31975.0,80052.0,
2012,,McDonald's,"Hotels, Restaurants & Leisure",United States,27006.0,5503.1,32990.0,99472.0,183.0
2013,,McDonald's,"Hotels, Restaurants & Leisure",United States,27567.0,5464.8,35386.0,99948.0,180.0
2014,,McDonald's,"Hotels, Restaurants & Leisure",United States,28106.0,5585.9,36626.0,96909.0,186.0
2015,,McDonald's,"Hotels, Restaurants & Leisure",United States,27441.0,4757.8,34281.0,92537.0,207.0
2016,,McDonald's,"Hotels, Restaurants & Leisure",United States,25358.0,4816.4,37939.0,110148.0,189.0
2017,,McDonald's,"Hotels, Restaurants & Leisure",United States,24622.0,4660.3,31024.0,106436.0,215.0
2018,,McDonald's,"Hotels, Restaurants & Leisure",United States,22283.0,5352.9,33723.0,129860.0,241.0
2019,,McDonald's,"Hotels, Restaurants & Leisure",United States,21025.0,5924.0,32811.0,148813.0,255.0
2020,,McDonald's,"Hotels, Restaurants & Leisure",United States,20835.0,5803.9,47511.0,139454.0,209.0
2021,,McDonald's,"Hotels, Restaurants & Leisure",United States,19208.0,4730.5,52627.0,173778.0,201
2022,223,McDonald's,"Hotels, Restaurants & Leisure",United States,23223.0,7545.2,53854.0,185027.0,
