Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1469.0,Taiheiyo Cement,Construction,Japan,8000.0,210,10550.0,2230.0,
2009,1392.0,Taiheiyo Cement,Construction,Japan,9290.0,210,12020.0,1370.0,
2010,1471.0,Taiheiyo Cement,Construction,Japan,8950.0,-360,11420.0,1190.0,
2011,1579.0,Taiheiyo Cement,Construction,Japan,7796.0,-396.3,12117.0,1299.0,
2012,,Taiheiyo Cement,Construction,Japan,8739.0,62.1,11783.0,2579.0,1662.0
2013,,Taiheiyo Cement,Construction,Japan,8792.0,94.8,11662.0,2893.0,1780.0
2014,,Taiheiyo Cement,Construction,Japan,8364.0,286.1,9874.0,4483.0,1878.0
2015,,Taiheiyo Cement,Construction,Japan,7953.0,429.1,8903.0,3759.0,1716.0
2017,,Taiheiyo Cement,Construction,Japan,7372.0,616.1,8888.0,4137.0,1536.0
2021,,Taiheiyo Cement,Construction,Japan,8187.0,428.7,10331.0,3130.0,1901
