Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,592.0,Industrial Bank of Korea,Banking,South Korea,7560.0,1130,114330.0,6620.0,
2009,637.0,Industrial Bank of Korea,Banking,South Korea,8690.0,1240,129470.0,1970.0,
2010,519.0,Industrial Bank of Korea,Banking,South Korea,7850.0,620,114630.0,6190.0,
2011,572.0,Industrial Bank of Korea,Banking,South Korea,8147.0,609.4,132676.0,8352.0,
2012,,Industrial Bank of Korea,Banking,South Korea,8074.0,1309.7,160485.0,7007.0,550.0
2013,,Industrial Bank of Korea,Banking,South Korea,9302.0,1035.8,185893.0,6367.0,593.0
2014,,Industrial Bank of Korea,Banking,South Korea,8880.0,775.0,201433.0,6435.0,677.0
2015,,Industrial Bank of Korea,Banking,South Korea,9800.0,975.2,201044.0,6603.0,668.0
2016,,Industrial Bank of Korea,Banking,South Korea,8585.0,1009.9,204548.0,6319.0,647.0
2017,,Industrial Bank of Korea,Banking,South Korea,7840.0,997.7,212661.0,6018.0,742.0
2018,,Industrial Bank of Korea,Banking,South Korea,11100.0,1416.0,256008.0,8890.0,588.0
2019,,Industrial Bank of Korea,Banking,South Korea,11121.0,1594.0,259464.0,7307.0,616.0
2020,,Industrial Bank of Korea,Banking,South Korea,13814.0,1312.7,275076.0,3742.0,629.0
2021,,Industrial Bank of Korea,Banking,South Korea,8995.0,1301.6,332888.0,6054.0,672
2022,732,Industrial Bank of Korea,Banking,South Korea,9444.0,2106.7,334866.0,6967.0,
