Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1808.0,Mizrahi Tefahot Bank,Banking,Israel,1290.0,150,21400.0,1720.0,
2009,1600.0,Mizrahi Tefahot Bank,Banking,Israel,1550.0,240,24700.0,1000.0,
2010,1637.0,Mizrahi Tefahot Bank,Banking,Israel,1520.0,160,30120.0,2010.0,
2011,1777.0,Mizrahi Tefahot Bank,Banking,Israel,1727.0,139.7,31164.0,2233.0,
2012,,Mizrahi Tefahot Bank,Banking,Israel,1504.0,228.1,37532.0,1996.0,1773.0
2013,,Mizrahi Tefahot Bank,Banking,Israel,2120.0,279.0,43435.0,2410.0,1611.0
2014,,Mizrahi Tefahot Bank,Banking,Israel,2101.0,298.7,51747.0,3104.0,1546.0
2015,,Mizrahi Tefahot Bank,Banking,Israel,1951.0,302.8,50860.0,2486.0,1582.0
2016,,Mizrahi Tefahot Bank,Banking,Israel,1730.0,290.9,53754.0,2710.0,1564.0
2017,,Mizrahi Tefahot Bank,Banking,Israel,1930.0,329.8,59879.0,3919.0,1485.0
2018,,Mizrahi Tefahot Bank,Banking,Israel,2273.0,387.7,69159.0,4368.0,1527.0
2019,,Mizrahi Tefahot Bank,Banking,Israel,2201.0,335.0,69010.0,5038.0,1669.0
2020,,Mizrahi Tefahot Bank,Banking,Israel,3026.0,517.0,79109.0,4857.0,1320.0
2021,,Mizrahi Tefahot Bank,Banking,Israel,3093.0,468.2,112165.0,6917.0,1281
2022,1036,Mizrahi Tefahot Bank,Banking,Israel,4339.0,987.0,126035.0,9752.0,
