Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,223.0,BAE Systems,Aerospace & Defense,United Kingdom,28390.0,1790,39070.0,33730.0,
2009,194.0,BAE Systems,Aerospace & Defense,United Kingdom,24340.0,2550,35440.0,18680.0,
2010,530.0,BAE Systems,Aerospace & Defense,United Kingdom,32910.0,-110,38580.0,19990.0,
2011,284.0,BAE Systems,Aerospace & Defense,United Kingdom,32913.0,1641.2,35806.0,17511.0,
2012,,BAE Systems,Aerospace & Defense,United Kingdom,29742.0,1925.5,33712.0,16240.0,312.0
2013,,BAE Systems,Aerospace & Defense,United Kingdom,26344.0,1692.9,36177.0,18820.0,325.0
2014,,BAE Systems,Aerospace & Defense,United Kingdom,26360.0,262.6,32970.0,21822.0,654.0
2015,,BAE Systems,Aerospace & Defense,United Kingdom,25406.0,1218.5,30854.0,24779.0,378.0
2016,,BAE Systems,Aerospace & Defense,United Kingdom,25647.0,1402.5,29600.0,22378.0,346.0
2017,,BAE Systems,Aerospace & Defense,United Kingdom,24004.0,1231.9,29108.0,25560.0,365.0
2018,,BAE Systems,Aerospace & Defense,United Kingdom,23595.0,1099.8,30373.0,27450.0,466.0
2019,,BAE Systems,Aerospace & Defense,United Kingdom,22429.0,1333.0,32028.0,20442.0,477.0
2020,,BAE Systems,Aerospace & Defense,United Kingdom,23352.0,1883.0,34495.0,20564.0,389.0
2021,,BAE Systems,Aerospace & Defense,United States,24720.0,1665.8,38198.0,23204.0,373
2022,411,BAE Systems,Aerospace & Defense,United Kingdom,26847.0,2417.8,36753.0,30154.0,
